"Reference","Value","Footprint","Manufacturer","Manufacturer Part Number","UNBSKU","Vendor","Vendor Part Number","Qty"
"C1, C3, C7, C9, C11, C15, C17","1uF","Resistor_SMD:R_0603_1608Metric","","","0064","","","7"
"C2, C4-C6, C8, C10, C12-C14, C16, C18","10nF","Resistor_SMD:R_0402_1005Metric","","","0379","","","11"
"C20","4.7u","Resistor_SMD:R_1206_3216Metric","","","0088","","","1"
"C21","100n","Resistor_SMD:R_0402_1005Metric","","","0086","","","1"
"FID1-FID4","Fiducial","Fiducial:Fiducial_0.5mm_Mask1mm","","","","","","4"
"FL1","LFCG-1900+","MiniCircuits:LFCG-1900+","","","","","","1"
"J1","Conn_01x18","Connector_PinHeader_2.00mm:PinHeader_2x09_P2.00mm_Vertical_SMD","Sullins Connector Solutions","NRPN092MAMS-RC","0069","Digikey","S6009-09-ND","1"
"J3-J6","142-1701-626‎","Connector_RF:SMA-Edge-Generic-1.0mm","","","0363","","","4"
"J20","Conn_Coaxial_Power","Connector_RF:SMA-Edge-Generic-1.0mm","","","0363","","","1"
"L1, L2","L","Inductor_SMD:L_0402_1005Metric","","","","","","2"
"L20","L","Inductor_SMD:L_0805_2012Metric","Samsung Electro-Mechanics","CIM21J252NE","0153","Digikey","1276-6377-1-ND","1"
"MH1-MH4","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","","","","","","4"
"R1, R2, R8, R10, R12, R14, R16, R18, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R40, R42, R219, R220","10k","Resistor_SMD:R_0402_1005Metric","","","0090","","","22"
"R3-R7, R19","0","Resistor_SMD:R_0402_1005Metric","","","0089","","","6"
"U1","MX1DS10P","Package_DFN_QFN:QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm","","","0380","","","1"
